"","Site","Plot","SBAPC","SBA","Soil_Type","BD..g.cm3.","Ilex.Lying.Deadwood..m3.","Quercus.Lying.Deadwood..m3.","NO3M","CNRatioSoil","MF_Min","pH","Amb_Temp"
"1","BlackBush","1 - Intact",0,63.2,71107,1.387669642,0,0,0.149300021,19.22310375,1.218288167,4.27,15.8
"2","BlackBush","2 - Slight",0.244778481,47.73,71107,1.501587611,0.029393134,0.061473774,0.484183589,21.76976066,1.316979363,4.24,16.2
"3","BlackBush","3 - Moderate",0.467244667,33.67,71107,1.552986434,0.064207282,0,1.49752332,16.06002479,1.286293715,4.37,19.8
"4","BlackBush","4 - Major",0.713677632,18.1,71107,1.432708183,0.085449435,0,0.746948369,20.40510022,1.224880409,4.24,20.8
"5","BlackBush","5 - Total",1,0,71107,1.657783342,0,3.00782678,1.896707248,18.12972237,1.321372716,4.58,22.1
"6","Bramshaw","1 - Intact",0,62.49,71107,1.651447496,0,0,0.217508782,28.39206524,1.344204273,4.07,17.8
"7","Bramshaw","2 - Slight",0.227869448,48.25,71107,1.387929812,0,0,0.47509447,19.86832903,1.304926145,4.46,18
"8","Bramshaw","3 - Moderate",0.510694062,30.58,71107,1.666909015,0,0,0,23.31496465,1.256180704,4.33,23.1
"9","Bramshaw","4 - Major",0.710823082,18.07,71107,1.587473716,0,0,0.390745894,24.48665422,1.207404813,3.97,23.5
"10","Bramshaw","5 - Total",1,0,71107,1.395975552,0.1186537,0,0.355027268,24.48665422,1.253753438,4.45,23.2
"11","Brinken","1 - Intact",0,62.28,84102,1.155812249,0.450829044,0.658303095,0.947772775,14.60969355,1.288970974,3.9,17.1
"12","Brinken","2 - Slight",0.23069536,47.91,84102,1.402967943,0.058185438,0.018209613,0.355620624,19.08394022,1.274137893,4.13,17.4
"13","Brinken","3 - Moderate",0.486219101,32,84102,1.790481078,0.052245668,0.04870254,0.126011908,18.62628136,1.245830423,4.7,18.2
"14","Brinken","4 - Major",0.729098187,16.87,84102,1.411822898,0,1.159285297,1.643876916,14.54438671,1.277527203,3.99,23.6
"15","Brinken","5 - Total",1,0,84102,1.476388108,0.048800715,0.095386267,1.349900007,14.27174554,1.295904007,4.26,24.1
"16","Brockis Hill","1 - Intact",0,66.25,71108,1.659420505,0,0,0.301398763,27.42542378,1.265874804,4.41,17.2
"17","Brockis Hill","2 - Slight",0.259049231,49.09,71108,1.235240822,0,1.219631351,0.124637031,24.6357226,1.308688825,3.93,17.4
"18","Brockis Hill","3 - Moderate",0.491061903,33.72,71108,1.195027775,0,0.157363161,0.579640934,18.41712485,1.352495513,4.21,19
"19","Brockis Hill","4 - Major",0.724669267,18.24,71108,1.545219527,0.052720009,0,0.714639557,22.83837951,1.250619226,4.23,22.3
"20","Brockis Hill","5 - Total",1,0,71108,1.387694344,0,0,0.122888528,15.83659049,1.290329541,4.03,24.1
"21","DennyWood","1 - Intact",0,61.76,71107,1.112519408,0.064325131,0,1.568921871,19.49956649,1.267206127,3.77,16.5
"22","DennyWood","2 - Slight",0.192463658,49.87,71107,1.066263338,0.055857892,0,1.415190987,16.65571059,1.85743817,4,16.5
"23","DennyWood","3 - Moderate",0.428697109,35.28,71107,1.096977383,0,0.744948626,8.74e-16,21.85232683,1.330625046,4.01,17.6
"24","DennyWood","4 - Major",0.719054357,17.35,71107,1.422208104,0,0.009503318,2.461099103,22.02131613,1.260562955,4.16,19.1
"25","DennyWood","5 - Total",1,0,71107,1.513992799,0,0.271729753,0.059635627,20.68083045,1.252348172,4.5,19.9
"26","Eyeworth","1 - Intact",0,64.33,71107,1.415038531,0,0,0.573961018,18.04612489,1.251235019,4.86,20
"27","Eyeworth","2 - Slight",0.1991393,51.52,64303,1.528844907,0,0,0.609545078,18.36272685,1.32880827,4.9,19.5
"28","Eyeworth","3 - Moderate",0.454558663,35.09,71107,1.309537834,0,0.050451347,1.161717598,15.74614062,1.381387835,4.4,18.8
"29","Eyeworth","4 - Major",0.748899095,16.15,71107,1.400598702,0.027897343,0.076403533,0.500961771,15.28441911,1.310515994,4.62,19.9
"30","Eyeworth","5 - Total",1,0,71107,1.327506562,0,0,0.972170664,15.82845306,1.338525504,4.43,17.6
"31","JamesHill","1 - Intact",0,61.16,71107,1.588702635,0.03540821,0,0.360910223,26.50371668,1.207244697,4.15,20.3
"32","JamesHill","2 - Slight",0.188955902,49.6,71107,1.440935555,0,0.622320707,0.500689792,18.97738673,1.339845884,4.97,22.3
"33","JamesHill","3 - Moderate",0.473029599,32.23,71107,1.477164722,0,0.088760464,0.328597137,22.35555986,1.256179913,4.5,21.9
"34","JamesHill","4 - Major",0.704274273,18.09,71107,1.716619241,0.01045365,0,0.662989327,20.57280064,1.267256742,4.8,31
"35","JamesHill","5 - Total",1,0,71107,1.513267858,0,0,0.802989794,24.01356024,1.193778161,3.95,22.5
"36","Malwood","1 - Intact",0,65.02,71108,1.510149602,0.087630015,0,1.168723623,25.21541049,1.362397823,4.09,18.9
"37","Malwood","2 - Slight",0.232806408,49.88,71108,1.462669224,0.069316205,0,1.241110659,20.04981819,1.353350232,4.55,18.7
"38","Malwood","3 - Moderate",0.489500091,33.19,71108,1.225149951,0,0,0.63774595,18.65097417,1.332889036,4.42,18.5
"39","Malwood","4 - Major",0.736769752,17.11,71108,1.529966792,0.367023871,0,1.132023103,18.5077068,1.319615502,4.05,21.9
"40","Malwood","5 - Total",1,0,71108,1.461695054,0.047959082,0,0.71450244,22.27153384,1.295631091,4.39,19.6
"41","MarkAsh","1 - Intact",0,66.16,57210,1.246051368,0,0.045319359,0.049489585,28.60746454,1.241198785,4.44,17.4
"42","MarkAsh","2 - Slight",0.23116168,50.86,64303,1.277879276,0.182421813,0,1.466760733,22.84773062,1.259870272,5.01,19.1
"43","MarkAsh","3 - Moderate",0.498305469,33.19,57210,1.414717104,0,0,0.915517089,26.45045614,1.245103241,5,19.6
"44","MarkAsh","4 - Major",0.731016698,17.8,57210,1.023401232,0,0,1.342183539,23.16110948,1.246739376,4.16,19.8
"45","MarkAsh","5 - Total",1,0,64303,1.591782571,0,0,0.596347035,25.76899078,1.246365303,3.83,18.6
"46","Ridley","1 - Intact",0,66.12,71107,1.562178342,0,0,1.620360497,19.49197106,1.324644706,4.05,17.8
"47","Ridley","2 - Slight",0.242779436,50.07,71107,1.444490352,0,1.916690087,0.977878234,18.65858829,1.27906473,4.16,18
"48","Ridley","3 - Moderate",0.507331028,32.58,71107,1.898870755,0.12959742,0,1.231874333,21.67671883,1.239455098,3.95,18.1
"49","Ridley","4 - Major",0.793491159,13.65,71107,1.756361594,0,0.973364691,1.690186175,19.92910411,1.228201954,4.47,28.1
"50","Ridley","5 - Total",1,0,71107,1.571090751,0.466649385,0.348416239,3.048166659,19.02027575,1.245938122,3.56,26.4
"51","Shave Wood","1 - Intact",0,59.85,71108,1.622699442,0,0,0.381892789,28.71861248,1.311801731,4.05,19.6
"52","Shave Wood","2 - Slight",0.171398045,49.6,71108,1.537057929,0.007853982,0.096704348,0.374473398,22.09749397,1.286316122,4.26,20.6
"53","Shave Wood","3 - Moderate",0.469585733,31.75,71108,1.464765018,0,0,0.371258457,31.62027242,1.2752728,4.24,21
"54","Shave Wood","4 - Major",0.6904738,18.53,71108,1.569322836,0.041674106,0,0.319088218,28.48194076,1.461424037,4.05,21.7
"55","Shave Wood","5 - Total",1,0,71108,1.793569281,0.031526511,0.341313046,0.557283403,18.58128488,1.392195265,4.39,21
"56","WoodCrates","1 - Intact",0,98.39,71107,1.373111615,0.012192882,0,0.189814033,26.70777745,1.26985588,4.17,17.8
"57","WoodCrates","2 - Slight",0.470320496,52.12,71107,1.468048423,0,0,0.370798281,28.95071937,1.240320249,4.2,19.3
"58","WoodCrates","3 - Moderate",0.622714311,37.12,71107,1.46745539,0,0,0.191143731,22.75036841,1.278751563,4.32,17.1
"59","WoodCrates","4 - Major",0.802421131,19.44,71107,1.344786436,0.082131911,0.015132005,0.378629244,21.24997963,1.266514821,4.49,18.5
"60","WoodCrates","5 - Total",1,0,71107,1.506177515,0.11015149,0,0.090547142,21.87930769,1.211520758,4.81,17.8
